7900,Augustine,5897,Kaliningrad
7901,Nyssa,7470,Monterrey
7902,Tierney,9419,Mersin
7903,Stephanie,6129,Split (city)
7904,Halette,3569,Phuket (city)
7905,Drucie,6258,Virginia Beach
7906,Rosanne,8560,Pelotas
7907,Donetta,6669,Memphis
7908,Merrie,9719,Prague
7909,Dyann,4725,Thessaloniki
7910,Imojean,7960,Nukualofa
7911,Lolita,5824,Tiraspol
7912,Marnia,5933,Angra do Herosmo
7913,Cathyleen,6111,Medan
7914,Atlanta,5354,Luxembourg (city)
7915,Delilah,5466,Zapopan
7916,Millie,4424,Luanda
7917,Tobe,6447,Patna
7918,Charissa,5885,Oslo
7919,Dolli,3266,Miri
7920,Briney,4299,Leipzig
7921,Marsiella,9608,South Tarawa
7922,Charmaine,3288,City of Halifax
7923,Gisela,9060,Campo Grande
7924,Chickie,3177,Manama
7925,Dari,5802,Vitoria
7926,Kimmy,9006,Mecca
7927,Patricia,3189,Malaga
7928,Danny,4298,Yaounde
7929,Brianna,9324,The Hague
7930,Caritta,5232,Berlin
7931,Eve,9766,Niamey
7932,Cecile,7809,Belgrade
7933,Konstance,8514,Toulouse
7934,Arlina,6516,Tegucigalpa
7935,Allis,8757,Innsbruck
7936,Annora,4014,Petropavlovsk
7937,Vevay,5999,Puebla
7938,Consuela,7541,Ankara
7939,Silvana,9585,Alexandria
7940,Delilah,8493,Hamburg
7941,Karlee,4075,Stuttgart
7942,Frances,4055,Mata-Utu
7943,Demetris,8763,Montevideo
7944,Dawn,9396,Daegu
7945,Dawn,8569,Glasgow
7946,Marcy,8502,Pyongyang
7947,Henriette,9037,Geneva
7948,Dulcinea,5942,Quezon City
7949,Oralee,8902,Vilnius
7950,Fanchon,7643,Wollongong
7951,Edith,3992,Tamale
7952,Lynea,9580,Lubumbashi
7953,Lizzie,8959,Pekanbaru
7954,Rhea,3224,Adamstown
7955,Cyndie,9626,Baltimore
7956,Korrie,5780,Monrovia
7957,Brianna,9544,Torshavn
7958,Sibella,9374,Albuquerque
7959,Gilda,6681,Kabul
7960,Pearline,3451,Murmansk
7961,Paulita,5658,Livingstone
7962,Annora,4017,Hyderabad
7963,Helena,6079,Miami
7964,Calla,3352,Harbin
7965,Willetta,6678,Copenhagen
7966,Louella,6960,Buffalo
7967,Helena,4295,Vilnius
7968,Beth,4348,Palma
7969,Amalie,9271,Columbus
7970,Tiffie,9958,Xian
7971,Louella,6727,Harare
7972,Renae,8618,Handan
7973,Gratia,9423,Mexicali
7974,Mara,3572,Ushuaia
7975,Valeda,9773,San Francisco
7976,Wileen,3079,Zapopan
7977,Leona,7760,Khartoum
7978,Nyssa,8076,Nukulaelae
7979,Sandie,6543,St. John's
7980,Ethel,6400,Bandung
7981,Nariko,5499,Tegucigalpa
7982,Paule,3427,Saint John
